word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
acquire,verb,b2,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.,"take on, get, develop, produce, take",,"fire, wire, dire, prior, desire","stake, acquisition, transaction, citizenship, assets"
across,adverb,a1,from one side to the other side,It's too wide. We can't swim across.,"crosswise, crossways, over, crossed, decussate",uncrossed,"cross, sauce, loss, boss, moss","globe, continent, strait, membrane, spectrum"
across,preposition,a1,from one side to the other side of something,He walked across the field.,"crosswise, crossways, over, crossed, decussate",uncrossed,"cross, sauce, loss, boss, moss","globe, continent, strait, membrane, spectrum"
act,noun,b1,a particular thing that somebody does,You have committed a serious criminal act.,"work, number, process, operation, represent","refrain, forbear, forebear","impact, abstract, contract, fact, extract","repealed, amended, enacted, offence, statute"
act,verb,a2,to do something for a particular purpose or in order to deal with a situation,"act to do something, It is vital that we act to stop the destruction of the rainforests.","work, number, process, operation, represent","refrain, forbear, forebear","impact, abstract, contract, fact, extract","repealed, amended, enacted, offence, statute"
action,noun,a1,the process of doing something in order to make something happen or to deal with a situation,The time has come for action if these beautiful animals are to survive.,"activity, activeness, legal action, action at law, military action","inaction, inactivity, inactiveness","reaction, traction, interaction, contraction, fraction","thriller, lawsuit, adventure, wounded, actions"
active,adjective,a2,"always busy doing things, especially physical activities",Staying physically active in later years can also keep you feeling younger.,"active voice, existing, existent, practicing, operational","quiet, passive, dormant, extinct, inactive","proactive, attractive, interactive, retroactive, inactive","passive, volcanoes, ingredient, duty, participant"
activity,noun,a1,a thing that you do for interest or pleasure,leisure/outdoor/recreational activities,"activeness, action, bodily process, radioactivity, bodily function","inertia, inaction, inactivity, inactiveness","proclivity, creativity, productivity, relativity, sensitivity","neurons, cortex, enzyme, enzymes, volcano"
actor,noun,a1,"a person who performs on the stage, on television or in films, especially as a profession",Both lead actors (= the ones who play the main parts) are outstanding.,"doer, worker, histrion, thespian, role player",,"factor, benefactor, contractor, reactor, tractor","comedian, screenwriter, portrayal, playwright, roles"
actress,noun,a1,"a woman who performs on the stage, on television or in films, especially as a profession",The Oscar-winning actress has taken a break from acting.,"heroine, comedian, performer, entertainer, artiste",,,"playmate, dancer, malayalam, comedian, bafta"
actual,adjective,b2,used to emphasize something that is real or exists in fact,James looks younger than his wife but in actual fact (= really) he is five years older.,"actualized, factual, de facto, existent, true","potential, possible, de jure",tactual,"harm, lunch, damages, footage, vary"
actually,adverb,a2,"used in speaking to emphasize a fact or a comment, or that something is really true",What did she actually say?,"really, in reality, indeed, very, truth",,"dually, unusually, cruel he, duel he, fuel he",happened
ad,noun,b1,"a notice, picture or film telling people about a product, job or service",The TV ads were first run last year.,"advertising, advert, advertisement, lib, hoc",,"sad, pad, bad, fad, add",
adapt,verb,b2,to change your behaviour in order to deal more successfully with a new situation,It's amazing how soon you adapt.,"accommodate, conform, adjust, rewrite, transcribe",,"apt, rapt, scrapped, kept, trapped","changing, surroundings, screenplay, environment, circumstances"
add,verb,a1,"to put something together with something else so as to increase the size, number, amount, etc.","add something, Next add the flour.","total, sum up, tot up, add up, sum","deduct, take off, subtract, take out, take away","sad, pad, bad, ad, fad","subtract, insult, flavor, functionality, dimension"
addition,noun,b1,a thing that is added to something else,All of these technologies are fairly recent additions.,"plus, summation, accession, improver, increase","deduction, subtraction","disposition, commission, condition, position, transition",
additional,adjective,b2,more than was first mentioned or is usual,additional resources/funds/security/funding/costs,"supplementary, supplemental, further, more, else",,"traditional, conditional, unconditional, transitional, nutritional","schooling, tertiary, swiss, bonus, funding"
address,noun,a1,"details of where somebody lives or works and where letters, etc. can be sent",What's your name and address?,"work, destination, treat, deal, speak to",,"process, access, assess, press, express","addresses, bits, announcer, addressing, concerns"
address,verb,b2,to think about a problem or a situation and decide how you are going to deal with it,"address something, Your essay does not address the real issues.","work, destination, treat, deal, speak to",,"process, access, assess, press, express","addresses, bits, announcer, addressing, concerns"
administration,noun,b2,"the activities that are done in order to plan, organize and run a business, school or other institution",Administration costs are passed on to the customer.,"governance, establishment, presidency, organization, organisation",,"communication, information, operation, education, implication","cleansed, fda, wpa, noaa, potsdam"
admire,verb,b1,to respect somebody for what they have done or to respect their qualities,"admire somebody/something, I really admire your enthusiasm.","look up to, wonder, like, enjoy, applaud",,"fire, wire, inspire, dire, require","despise, emulate, scenery, courage, appreciate"
admit,verb,b1,"to agree, often unwillingly, that something is true","It was a stupid thing to do, I admit.","allow, accept, let in, acknowledge, accommodate","compelling, shut, deny, refuse, reject","it, fit, shit, hit, bit","wrongdoing, guilt, mistakes, feelings, deny"
adopt,verb,b2,to take somebody else’s child into your family and become its legal parent(s),a campaign to encourage childless couples to adopt,"espouse, take in, take, take on, acquire",,"opt, co-opt, stopped, dropped, copped","expenditures, adoption, posture, revenues, euro"
adult,adjective,a2,fully grown or developed,preparing young people for adult life,"grownup, full-grown, mature, big, grown","juvenile, juvenile person","result, cult, consult, insult, occult","swim, contemporary, plumage, juvenile, format"
adult,noun,a1,a fully grown person who is legally responsible for their actions,Children must be accompanied by an adult.,"grownup, full-grown, mature, big, grown","juvenile, juvenile person","result, cult, consult, insult, occult","swim, contemporary, plumage, juvenile, format"
advance,adjective,b2,done or given before something is going to happen,Please give us advance warning of any changes.,"progression, get ahead, progress, advancement, make headway","back, break, lose, bump, relegate","enhance, dance, chance, circumstance, finance","semifinal, halted, raleigh, nintendo, flank"
advance,noun,b2,progress or a development in a particular activity or area of understanding,We live in an age of rapid technological advance.,"progression, get ahead, progress, advancement, make headway","back, break, lose, bump, relegate","enhance, dance, chance, circumstance, finance","semifinal, halted, raleigh, nintendo, flank"
advance,verb,b2,"if knowledge, technology, etc. advances, it develops and improves",Technology is advancing at an incredibly rapid pace.,"progression, get ahead, progress, advancement, make headway","back, break, lose, bump, relegate","enhance, dance, chance, circumstance, finance","semifinal, halted, raleigh, nintendo, flank"
advanced,adjective,b1,"having the most modern and recently developed ideas, methods, etc.",Scientists are working on highly advanced technology to replace fossil fuels.,"modern, innovative, hi-tech, sophisticated, precocious",,"enhanced, entranced, glanced, canst, financed","placement, calculus, semifinal, aggregate, courses"
advantage,noun,a2,a thing that helps you to be better or more successful than other people,a distinct/significant/huge advantage,"vantage, advantageous, benefit, beneficial, avail","disadvantage, disfavor, disfavour","manage, vantage, disadvantage, micromanage, pannage","disadvantage, situation, opportunities, opportunity, capabilities"
adventure,noun,a2,"an unusual, exciting or dangerous experience, journey or series of events",her adventures travelling in Africa,"escapade, venture, take a chance, risk, hazard",,"venture, debenture, indenture, quencher, bencher","dungeon, sherlock, module, playground, adventures"
advertise,verb,a2,to tell the public about a product or a service in order to encourage people to buy or to use it,If you want to attract customers you need to advertise.,"advertize, publicize, publicity, publicise, advertisement",,"arise, analyze, rise, advise, compromise","advertisements, advertised, ads, advertisement, cigarettes"
advertisement,noun,a2,"a notice, picture or film telling people about a product, job or service",a newspaper/television advertisement,"advertising, advert, ad, promotional, advertise",,"aggrandizement, advisement, self-aggrandizement, disenfranchisement, ratatisement","advert, advertisements, advertiser, ads, advertising"
advertising,noun,a2,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.",Cigarette advertising has been banned.,"advertisement, advert, ad, advertizing, publicizing",,"patronizing, tantalizing, rising, comprising, enterprising","copywriter, ads, advertisements, slogan, advertisement"
advice,noun,a1,an opinion or a suggestion about what somebody should do in a particular situation,expert/practical/professional/medical advice,"advisory, advise, adviser, advisor, aviso",,"ice, device, nice, concise, suffice","consent, guidance, counsel, advised, matters"
advise,verb,b1,to tell somebody what you think they should do in a particular situation,"advise against doing something, I would strongly advise against going out on your own.","apprise, notify, counsel, propose, suggest",,"arise, analyze, rise, compromise, comprise","matters, consent, assist, caution, relating"
affair,noun,b2,events that are of public interest or political importance,world/international affairs,"amour, intimacy, affaire, involvement, thing",,"bear, care, air, flare, tear","scandal, pregnant, divorce, mistress, lover"
affect,verb,a2,to produce a change in somebody/something,How will these changes affect us?,"impress, pretend, touch on, feign, touch",,"effect, respect, project, subject, aspect","mandates, outcome, affects, emotion, emotions"
afford,verb,b1,to have enough money to be able to buy or do something,"afford something, Can we afford a new car?","give, yield, open, offer, enable",,"board, record, ward, accord, cord","tuition, fees, buy, ignore, rent"
afraid,adjective,a1,feeling fear; frightened because you think that you might be hurt or suffer,Don't be afraid.,"petrified, scared, frightened, fearful, afeared",,"trade, aid, blade, shade, grade","fear, admit, fears, hurt, ask"
after,adverb,a2,later in time; afterwards,"That was in 1996. Soon after, I heard that he'd died.","afterwards, later, later on, subsequently, afterward",,"rafter, thereafter, laughter, hereafter, grafter",
after,conjunction,a2,at a time later than something; when something has finished,I'll call you after I've spoken to them.,"afterwards, later, later on, subsequently, afterward",,"rafter, thereafter, laughter, hereafter, grafter",
after,preposition,a1,later than something; following something in time,We'll leave after lunch.,"afterwards, later, later on, subsequently, afterward",,"rafter, thereafter, laughter, hereafter, grafter",
afternoon,noun,a1,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,this/yesterday/tomorrow afternoon,"postmeridian, good afternoon, midday, morning, noon",,"moon, boon, tune, impugn, balloon","evening, slot, weekday, morning, tea"
afterwards,adverb,b2,at a later time; after an event that has already been mentioned,Afterwards she was sorry for what she'd said.,"later, later on, after, subsequently, thereafter",,after words,resumed
again,adverb,a1,one more time; on another occasion,This must never happen again.,"once again, once more, over again, repeatedly, reiterate",,"vein, train, plane, fein, strain",
against,preposition,a2,opposing or disagreeing with somebody/something,the fight against terrorism,"about, according, address, ago, ahead",,"incensed, commenced, condensed, dispensed, fenced",
age,noun,a1,the number of years that a person has lived or a thing has existed,You're the same age as my brother.,"old age, mature, maturate, years, get on",rejuvenate,"gauge, engage, sage, assuage, stage","median, householder, older, couples, household"
age,verb,b1,to become older,"As he aged, his memory got worse.","old age, mature, maturate, years, get on",rejuvenate,"gauge, engage, sage, assuage, stage","median, householder, older, couples, household"
aged,adjective,b1,of the age of,They have two children aged six and nine.,"elderly, older, old, senior, mature","youth, young","engaged, enraged, assuaged, outraged, staged","rebate, barony, cremated, earldom, older"
agency,noun,b2,a business or an organization that provides a particular service especially when representing other businesses or organizations,She works for an advertising agency.,"authority, delegacy, representation, bureau, office",,"interagency, agency e","fema, epa, nsa, esa, cia"
agenda,noun,b2,a list of items to be discussed at a meeting,We have a very full agenda of issues to discuss.,"order of business, docket, schedule, program, timetable",,"hacienda, brenda, referenda, venda, glenda","priorities, sustainable, item, initiatives, advocated"
agent,noun,b1,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",Our agent in New York deals with all US sales.,"broker, factor, federal agent, acting, consumer",,"reagent, vagient, bagent","waived, agents, fbi, spy, nfl"
aggressive,adjective,b2,"angry, and behaving in a threatening way; ready to attack",Seals have been known to exhibit aggressive behaviour towards swimmers.,"pugnacious, combative, pushful, invasive, battleful","nonaggressive, unaggressive","progressive, impressive, excessive, oppressive, successive","aggression, inline, stance, behavior, tactics"
ago,adverb,a1,used in expressions of time with the simple past tense to show how far in the past something happened,two weeks/months/years ago,"past, agone, formerly, heretofore, former",,"go, blow, show, know, forego","mya, glaciation, cambrian, homo, pleistocene"
agree,verb,a1,to have the same opinion as somebody; to say that you have the same opinion,"When he said that, I had to agree.","accord, concur, fit, correspond, consort","discord, differ, disagree, disaccord, take issue","tree, be, sea, key, see","disagree, noun, marry, cited, participate"
agreement,noun,b1,"an arrangement, a promise or a contract made with somebody",an international peace agreement,"accord, arrangement, concord, correspondence, understanding","dissension, disagreement","vehement, disagreement, bement","tariffs, populace, ratified, expelled, whereby"
ah,exclamation,a2,"used to express surprise, pleasure or sympathy, or when you disagree with somebody","Ah, there you are!","qing, paf, ahh, god, man",,"law, draw, saw, withdraw, awe",
ahead,adverb,b1,further forward in space or time; in front,I'll run ahead and warn them.,"forwards, forward, forrader, onwards, onward","back, backward","read, lead, head, red, bed","mitt, senna, democrat, barack, candidates"
aid,noun,b2,"money, food, etc. that is sent to help countries in difficult situations",humanitarian/food/medical aid,"help, assistance, assist, attention, care",,"trade, blade, shade, grade, cascade","multiplied, equals, humanitarian, assistance, refugees"
aid,verb,b2,"to help somebody/something to do something, especially by making it easier","aid in something, The test is designed to aid in the diagnosis of various diseases.","help, assistance, assist, attention, care",,"trade, blade, shade, grade, cascade","multiplied, equals, humanitarian, assistance, refugees"
aim,noun,b1,the purpose of doing something; what somebody is trying to achieve,the stated aims of the study,"take aim, target, place, bearing, train",,"game, name, frame, claim, lame","educate, promote, improving, encouraging, encourage"
aim,verb,b1,to try or plan to achieve something,He has always aimed high (= tried to achieve a lot).,"take aim, target, place, bearing, train",,"game, name, frame, claim, lame","educate, promote, improving, encouraging, encourage"
air,noun,a1,the mixture of gases that surrounds the earth and that we breathe,Let's go out for some fresh air.,"atmosphere, zephyr, breeze, ventilate, air out",unadjusted,"bear, care, flare, tear, fair","conditioning, force, airlift, usaf, raf"
aircraft,noun,b2,any vehicle that can fly and carry goods or passengers,fighter/transport/military aircraft,"fuselage, helicopter, rotorcraft, aeroplane, airframe",,"draft, craft, graft, shaft, draught","monoplane, cessna, airbus, biplane, boeing"
airline,noun,a2,a company that provides regular flights to take passengers and goods to different places,an airline pilot/passenger,"airway, airline business, airliner, airspace, aviation",,"line, design, sign, pine, fein","lufthansa, deregulation, turboprop, airbus, boeing"
airport,noun,a1,a place where planes land and take off and that has buildings for passengers to wait in,Gatwick Airport,"airdrome, aerodrome, airstrip, airfield, airplane",,"support, court, short, report, port","jee, nautical, amritsar, runway, icao"
alarm,noun,b1,a loud noise or a signal that warns people of danger or of a problem,She decided to sound the alarm (= warn people that the situation was dangerous).,"alarum, alarm system, alert, consternation, alarm clock",,"farm, arm, charm, harm, disarm","pheromone, pheromones, sounded, clocks, clock"
alarm,verb,b2,to make somebody anxious or afraid,I can only guess that they don't want to alarm the public yet.,"alarum, alarm system, alert, consternation, alarm clock",,"farm, arm, charm, harm, disarm","pheromone, pheromones, sounded, clocks, clock"
album,noun,b1,"a book in which you keep photographs, stamps, etc.",a photo album,"record album, register, essay, yearbook, catalog",,,"billboard, platinum, peaked, spawned, charted"
alcohol,noun,b1,"drinks such as beer, wine, etc. that can make people drunk",He never drinks alcohol.,"drink, intoxicant, inebriant, alcoholic beverage, ethanol",,"all, ball, call, fall, protocol","intoxication, binge, atf, methanol, alcoholism"
alcoholic,adjective,b1,connected with or containing alcohol,alcoholic drinks/beverages,"boozer, dipsomaniac, intoxicating, intoxicant, spirituous","soft, nonalcoholic","bucolic, frolic, hyperbolic, vitriolic, hydraulic","beverages, beverage, drinks, cirrhosis, fermentation"
alive,adjective,a2,living; not dead,Is your mother still alive?,"live, living, viable, aware, alert",unanimated,"drive, dive, strive, live, thrive","kicking, dead, dies, revenge, kill"
all,adverb,a2,completely,She was dressed all in white.,"totally, wholly, entirely, completely, altogether","part, partially, partly","ball, call, fall, protocol, wall",
all,determiner,a1,the whole number of,"All horses are animals, but not all animals are horses.","totally, wholly, entirely, completely, altogether","part, partially, partly","ball, call, fall, protocol, wall",
all,pronoun,a1,the whole number or amount,All of the food has gone.,"totally, wholly, entirely, completely, altogether","part, partially, partly","ball, call, fall, protocol, wall",
all right,adjective,a2,acceptable; in an acceptable manner,Is the coffee all right?,"alright, satisfactory, well, fine, ok",,,
all right,adverb,a2,acceptable; in an acceptable manner,Is the coffee all right?,"alright, satisfactory, well, fine, ok",,,
all right,exclamation,a2,used to check that somebody agrees or understands,"We've got to get up early, all right?","alright, satisfactory, well, fine, ok",,,
allow,verb,a2,to let somebody/something do something; to let something happen or be done,"allow somebody/something to do something, His parents won't allow him to stay out late.","admit, permit, allow for, grant, appropriate","keep, forbid, deny, prevent, refuse","sow, bow, now, cow, how","socioeconomic, user, access, comparison, easier"
almost,adverb,a2,not quite,I like almost all of them.,"well-nigh, nearly, virtually, just about, all but",,"post, host, coast, roast, ghost","exclusively, certainly, universally, entirely, identical"
alone,adjective,a2,without any other people,"not alone in, Tom is not alone in finding Rick hard to work with.","only, solely, lone, lonely, exclusively",,"bone, zone, stone, tone, loan","household, size, older, average, median"
alone,adverb,a2,without any other people,"not alone in, Tom is not alone in finding Rick hard to work with.","only, solely, lone, lonely, exclusively",,"bone, zone, stone, tone, loan","household, size, older, average, median"
along,adverb,a2,forward,I was just walking along singing to myself.,"on, with, jointly, together, collectively",,"long, strong, wrong, song, schlong","coastline, corridor, coast, axis, shore"
along,preposition,a2,from one end to or towards the other end of something,They walked slowly along the road.,"on, with, jointly, together, collectively",,"long, strong, wrong, song, schlong","coastline, corridor, coast, axis, shore"
already,adverb,a2,before now or before a particular time in the past,"‘Lunch?’ ‘No thanks, I've already eaten.’","past, previously, earlier, beforehand, before",not yet,"steady, ready, eddy, heady, medi","begun, existed, existing, familiar, knew"
also,adverb,a1,in addition; too,She's fluent in French and German. She also speaks a little Italian.,"besides, as well, too, likewise, additionally",,"alcohol so, all so, also owe, ball so, baseball so",
alter,verb,b2,to become different; to make somebody/something different,Prices did not alter significantly during 2019.,"change, vary, interpolate, falsify, neuter",leave,"falter, altar, halter, psalter, gibraltar","egos, ego, rebbe, rabbi, perception"
alternative,adjective,b1,that can be used instead of something else,The road was closed so we had to find an alternative route.,"secondary, choice, option, alternate, disjunctive",,burnet of,"splicing, rock, spelling, indie, hypothesis"
alternative,noun,a2,a thing that you can choose to do or have out of two or more possibilities,The car is too expensive so we're trying to find a cheaper alternative.,"secondary, choice, option, alternate, disjunctive",,burnet of,"splicing, rock, spelling, indie, hypothesis"
although,conjunction,a2,used for introducing a statement that makes the main statement in a sentence seem surprising,"Although the sun was shining, it wasn't very warm.","though, after, albeit, but, cordero",,"go, blow, show, know, forego",
always,adverb,a1,at all times; on every occasion,There's almost always somebody at home in the evenings.,"ever, forever, ongoing, continued, sometimes",never,"raise, phrase, phase, praise, malaise","loved, wanted, ready, something"
amazed,adjective,b1,very surprised,an amazed look,"surprised, astounded, astonied, astonished, stunned",,"unfazed, dazed, fazed, raised, razed","amused, discover, hear, maybe, shocked"
amazing,adjective,a1,"very surprising, especially in a way that you like or admire",an amazing feat/story/experience,"awesome, awe-inspiring, astonishing, surprising, impressive",,"blazing, hazing, raising, grazing, brazing","gumball, technicolor, colossal, grace, fantastic"
ambition,noun,b1,something that you want to do or achieve very much,She had fulfilled her lifelong ambition.,"aspiration, ambitiousness, dream, ambitious, drive",,"disposition, commission, condition, position, transition","greed, taped, madonna, ambitious, desire"
ambitious,adjective,b1,"determined to be successful, rich, powerful, etc.",a fiercely ambitious young manager,"aspiring, aspirant, driven, overambitious, would-be","unambitious, ambitionless","pernicious, capricious, auspicious, vicious, delicious","undertaking, agenda, plan, plans, project"
among,preposition,a2,surrounded by somebody/something; in the middle of somebody/something,a house among the trees,"about, across, aged, along, alongside",,"tongue, young, lung, hung, bung","turnout, others, things, peoples"
amount,noun,a2,a quantity of something,I was amazed at the amount he could eat.,"total, add up, sum, number, come",,"account, count, mount, paramount, tantamount","consumed, depends, money, varies, paid"
amount,verb,b2,,,"total, add up, sum, number, come",,"account, count, mount, paramount, tantamount","consumed, depends, money, varies, paid"
analyse,verb,b1,"to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it","analyse something, The job involves collecting and analysing data.","analyze, study, examine, psychoanalyse, psychoanalyze","synthesize, synthesise","annalize, channelize, canalise, channelise, anna lies","strat, musicale, jeu, interpret, trends"
analysis,noun,b1,the detailed study or examination of something in order to understand more about it; the result of the study,statistical/data analysis,"depth psychology, psychoanalysis, analytic thinking, analyzed, analyze","synthesis, synthetic thinking","paralysis, dialysis, psychoanalysis, urinalysis, infantile paralysis","clade, analyses, algorithms, computational, differential"
ancient,adjective,a2,belonging to a period of history that is thousands of years in the past,Archaeologists are excavating the ruined temples of this ancient civilization.,"age-old, antique, old, past, antiquity",,"plain shunt, vein shunt","greeks, egyptian, mesopotamia, greek, romans"
and,conjunction,a1,also; in addition to,bread and butter,"abs, ampersands, conjunctions, connectors, ndp",,"fund, refund, stunned, bund, rotund",
anger,noun,b2,the strong feeling that you have when something has happened that you think is bad and unfair,She had to find a way to express her pent-up anger.,"angriness, wrath, see red, choler, ire",,"bangor, bellanger","sadness, disgust, frustration, resentment, greed"
angle,noun,b2,"the space between two lines or surfaces that join, measured in degrees",a 45° angle,"weight, slant, tilt, lean, tip",,"triangle, tangle, wrangle, mangle, dangle","obtuse, stalked, columella, angles, vein"
angry,adjective,a1,having strong feelings about something that you dislike very much or about an unfair situation,Her behaviour really made me angry.,"irate, infuriated, choleric, enraged, angered",,"angry e, shangri","nerd, mob, anger, birds, inch"
animal,noun,a1,"a creature that is not a bird, a fish, a reptile, an insect or a human",the animals and birds of South America,"fauna, physical, creature, fishlike, beast","vegetable, mineral","anomal, americana mill","husbandry, cruelty, peta, welfare, veterinary"
ankle,noun,a2,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,to sprain/break/twist your ankle,"ankle joint, articulatio talocruralis, mortise joint, talus, tarsus",,"rankle, crankle, ancle, shankle, frankel","sprain, fibula, sprained, injury, ligament"
anniversary,noun,b2,a date that is an exact number of years after the date of an important or special event,on the anniversary of his wife’s death,"day of remembrance, birthday, celebration, commemoration, age",,"cursory, nursery, mercery, day nursery, ursery","libre, celebration, commemorative, commemoration, gala"
announce,verb,b1,"to tell people something officially, especially about a decision, plans, etc.","announce something, He officially announced his intention to resign at today's press conference.","annunciate, denote, declare, herald, harbinger",,"denounce, bounce, renounce, pronounce, ounce","candidacy, intentions, announcement, engagement, intention"
announcement,noun,b1,a spoken or written statement that informs people about something,to make an announcement,"proclamation, promulgation, annunciation, pronouncement, declaring",,"pronouncement, announcment","candidacy, trailer, speculation, facebook, twitter"
annoy,verb,b1,to make somebody slightly angry ,"annoy somebody, His constant joking was beginning to annoy her.","bother, vex, irritate, rile, rag",,"employ, boy, deploy, joy, coy","embarrass, disturb, marge, pretending, threaten"
annoyed,adjective,b1,slightly angry,"annoyed with somebody at/about something, He was beginning to get very annoyed with me about my carelessness.","vexed, irritated, nettled, troubled, harassed",,"void, avoid, devoid, android, paranoid","grunt, antics, embarrassed, frustrated, homer"
